,activity_day,workout_type,distance,time,calories,total_steps,avg_speed,avg_cadence,max_cadence,avg_pace,max_pace,min_pace,avg_heart_rate,max_heart_rate,min_heart_rate,vo2_max(%),aerobic(%),anaerobic(%),intensive(%),light(%)
0,2022-01-01,Freestyle,9.3,77,123,,18.88,168.54,138.3,nan,nan,nan,112.5,122.0,103,19,28,2,7,50
1,2022-01-01,Freestyle,3.44,96,55,,29.65,125.92,292.81,nan,nan,nan,111.0,122.0,100,42,28,2,29,88
2,2022-01-01,Indoor Cycling,6.34,85,33,,17.85,81.93,323.69,nan,nan,nan,95.0,90.0,100,1,32,0,22,43
3,2022-01-01,Walking,7.91,42,82,1571.0,22.1,29.63,180.16,07:58,28:58,07:58,83.0,85.0,81,3,22,0,24,65
4,2022-01-01,Open Water,8.99,36,131,,25.83,64.55,342.89,nan,nan,nan,138.0,166.0,110,7,0,5,21,88
5,2022-01-01,Outdoor Cycling,5.47,117,144,,2.2,43.47,291.67,nan,nan,nan,142.0,177.0,107,44,45,15,57,39
6,2022-01-01,Indoor Cycling,6.28,66,378,,10.65,23.83,253.84,nan,nan,nan,85.0,90.0,80,34,32,0,44,23
7,2022-01-01,Outdoor Running,2.94,26,430,7618.0,10.59,131.93,334.72,06:44,27:44,06:15,145.0,190.0,100,23,0,71,18,3
8,2022-01-01,Trail Run,2.87,26,465,2790.0,32.92,21.42,341.17,06:48,25:50,06:20,142.0,188.0,96,2,0,80,46,13
9,2022-01-01,Pool Swimming,3.91,23,99,,33.15,169.3,206.97,nan,nan,nan,132.5,175.0,90,22,20,15,28,20
10,2022-01-01,Trail Run,6.31,107,97,2790.0,22.99,27.99,139.21,06:48,25:50,06:20,138.5,188.0,89,38,0,80,13,16
11,2022-01-01,Outdoor Running,2.37,65,524,7618.0,16.47,164.78,87.6,06:44,27:44,06:15,146.0,190.0,102,17,0,71,46,12
12,2022-01-01,Indoor Cycling,3.5,43,158,,12.54,25.36,184.2,nan,nan,nan,99.0,90.0,108,21,32,0,24,59
13,2022-01-01,Outdoor Cycling,1.86,111,195,,19.95,15.99,317.51,nan,nan,nan,134.5,177.0,92,26,45,15,64,84
14,2022-01-01,Freestyle,8.41,70,412,,35.93,113.85,262.5,nan,nan,nan,115.0,122.0,108,36,28,2,28,63
15,2022-01-01,Open Water,6.77,102,333,,11.46,155.72,201.74,nan,nan,nan,123.0,166.0,80,43,0,5,22,18
16,2022-01-01,Trekking,5.69,78,248,5028.0,3.22,47.35,321.79,07:55,24:45,07:45,108.5,124.0,93,19,50,0,23,96
17,2022-01-01,Trekking,6.54,118,496,5028.0,2.99,87.5,135.87,07:55,24:45,07:45,113.0,124.0,102,17,50,0,63,37
18,2022-01-01,Treadmill,1.89,108,150,4550.0,31.49,69.99,198.7,07:59,27:58,07:58,103.0,105.0,101,26,26,7,46,64
19,2022-01-01,Open Water,1.48,47,441,,26.49,136.32,206.15,nan,nan,nan,131.0,166.0,96,0,0,5,63,61
20,2022-01-01,Indoor Cycling,2.21,90,377,,8.73,164.42,163.67,nan,nan,nan,95.5,90.0,101,38,32,0,64,32
21,2022-01-01,Open Water,9.45,76,72,,17.58,197.28,315.25,nan,nan,nan,124.5,166.0,83,22,0,5,56,71
22,2022-01-01,Cricket,2.78,41,25,3444.0,29.89,126.56,129.14,07:015,22:02,07:02,95.5,92.0,99,6,40,10,35,56
23,2022-01-01,Treadmill,5.66,76,368,4550.0,20.14,160.37,261.85,07:59,27:58,07:58,104.0,105.0,103,7,26,7,38,34
24,2022-01-01,Cricket,3.71,92,343,3444.0,29.29,12.28,230.99,07:015,22:02,07:02,87.0,92.0,82,33,40,10,49,80
25,2022-01-01,Cricket,6.52,59,467,3444.0,26.87,59.96,205.4,07:015,22:02,07:02,101.0,92.0,110,20,40,10,35,94
26,2022-01-01,Outdoor Running,6.41,40,377,7618.0,19.67,75.95,255.54,06:44,27:44,06:15,138.5,190.0,87,38,0,71,45,88
27,2022-01-01,Cricket,3.95,88,277,3444.0,20.89,46.5,269.71,07:015,22:02,07:02,91.5,92.0,91,18,40,10,50,55
28,2022-01-02,Cricket,8.23,91,416,3444.0,23.83,116.62,88.8,07:015,22:02,07:02,87.0,92.0,82,5,40,10,34,25
29,2022-01-02,Treadmill,1.71,77,356,4550.0,19.16,105.43,111.24,07:59,27:58,07:58,93.0,105.0,81,43,26,7,46,39
30,2022-01-02,Freestyle,3.25,51,99,,24.3,136.36,140.31,nan,nan,nan,107.5,122.0,93,32,28,2,67,7
31,2022-01-02,Treadmill,2.73,110,483,4550.0,26.28,22.45,208.36,07:59,27:58,07:58,98.0,105.0,91,12,26,7,22,46
32,2022-01-02,Pool Swimming,6.7,103,537,,16.48,142.22,258.4,nan,nan,nan,139.5,175.0,104,1,20,15,17,87
33,2022-01-02,Trail Run,5.19,23,511,2790.0,11.11,167.3,282.0,06:48,25:50,06:20,139.5,188.0,91,40,0,80,54,91
34,2022-01-02,Pool Swimming,1.72,40,517,,23.33,120.32,107.57,nan,nan,nan,133.5,175.0,92,8,20,15,62,24
35,2022-01-02,Trekking,8.36,49,374,5028.0,22.12,51.9,87.33,07:55,24:45,07:45,106.0,124.0,88,10,50,0,19,100
36,2022-01-02,Trekking,6.41,116,344,5028.0,3.56,164.8,200.58,07:55,24:45,07:45,108.0,124.0,92,40,50,0,34,87
37,2022-01-02,Outdoor Running,1.9,119,13,7618.0,27.42,156.7,56.67,06:44,27:44,06:15,140.5,190.0,91,23,0,71,31,61
38,2022-01-02,Freestyle,8.26,66,35,,37.24,18.44,243.61,nan,nan,nan,107.0,122.0,92,7,28,2,64,19
39,2022-01-02,Outdoor Running,9.15,76,68,7618.0,4.47,127.48,100.18,06:44,27:44,06:15,142.0,190.0,94,10,0,71,5,89
40,2022-01-02,Pool Swimming,3.5,60,313,,35.58,32.3,174.2,nan,nan,nan,142.5,175.0,110,12,20,15,59,58
41,2022-01-02,Cricket,2.92,83,272,3444.0,22.56,186.66,297.96,07:015,22:02,07:02,89.0,92.0,86,17,40,10,54,67
42,2022-01-02,Freestyle,2.43,106,499,,6.6,10.53,170.77,nan,nan,nan,105.0,122.0,88,35,28,2,53,92
43,2022-01-02,Freestyle,8.3,120,383,,6.72,37.31,183.81,nan,nan,nan,105.0,122.0,88,25,28,2,62,89
44,2022-01-02,Open Water,1.0,94,150,,38.44,90.18,67.49,nan,nan,nan,133.0,166.0,100,26,0,5,42,47
45,2022-01-02,Cricket,1.49,63,358,3444.0,17.44,29.12,121.33,07:015,22:02,07:02,90.0,92.0,88,29,40,10,31,80
46,2022-01-02,Trail Run,6.86,77,373,2790.0,11.12,69.85,76.1,06:48,25:50,06:20,139.0,188.0,90,30,0,80,27,48
47,2022-01-02,Walking,7.19,111,34,1571.0,8.11,109.49,254.51,07:58,28:58,07:58,90.5,85.0,96,35,22,0,31,71
48,2022-01-02,Pool Swimming,2.29,25,446,,10.79,185.68,80.4,nan,nan,nan,132.0,175.0,89,37,20,15,46,20
49,2022-01-02,Outdoor Running,8.81,120,196,7618.0,26.87,126.1,227.44,06:44,27:44,06:15,148.5,190.0,107,14,0,71,6,27
50,2022-01-02,Trail Run,5.38,102,541,2790.0,1.93,33.85,325.65,06:48,25:50,06:20,145.0,188.0,102,33,0,80,13,40
51,2022-01-03,Outdoor Cycling,7.61,80,88,,15.16,38.95,335.36,nan,nan,nan,139.5,177.0,102,40,45,15,34,55
52,2022-01-03,Indoor Cycling,2.7,25,529,,11.62,53.36,185.46,nan,nan,nan,85.5,90.0,81,19,32,0,27,43
53,2022-01-03,Walking,6.12,39,18,1571.0,3.62,76.34,132.77,07:58,28:58,07:58,84.5,85.0,84,17,22,0,33,7
54,2022-01-03,Outdoor Running,1.81,48,172,7618.0,11.42,97.53,215.27,06:44,27:44,06:15,140.5,190.0,91,8,0,71,7,16
55,2022-01-03,Freestyle,8.24,41,392,,19.69,137.43,227.93,nan,nan,nan,106.0,122.0,90,15,28,2,26,42
56,2022-01-03,Trekking,8.34,107,306,5028.0,8.93,12.81,275.77,07:55,24:45,07:45,117.5,124.0,111,28,50,0,12,94
57,2022-01-03,Trekking,1.42,32,306,5028.0,20.3,64.43,277.93,07:55,24:45,07:45,108.5,124.0,93,24,50,0,17,77
