Team,YearStart,Size,Special,SpecialAlt,RunningTopTierYears,TotalTopTierYears,Division,Leading Scorer,Special,SpecialAlt,D,L,Position Cleaned,PositionAdjusted,TopTier?,W
Arsenal,1893,,,,0,0,Div 2,James Henderson,,,4,12,9,25,0,12
Arsenal,1894,,,,0,0,Div 2,Peter Mortimer,,,6,10,8,24,0,14
Arsenal,1895,,,,0,0,Div 2,Henry Boyd,,,4,12,7,23,0,14
Arsenal,1896,,,,0,0,Div 2,Patrick O'Brien,,,4,13,10,26,0,13
Arsenal,1897,,,,0,0,Div 2,Fergus Hunt,,,5,9,5,21,0,16
Arsenal,1898,,,,0,0,Div 2,Fergus Hunt,,,5,11,7,25,0,18
Arsenal,1899,,,,0,0,Div 2,Ralph Gaudie,,,4,14,8,26,0,16
Arsenal,1900,,,,0,0,Div 2,Ralph Gaudie,,,6,13,7,25,0,15
Arsenal,1901,,,,0,0,Div 2,Tommy Briercliffe,,,6,10,4,22,0,18
Arsenal,1902,,,,0,0,Div 2,Tim Coleman,,,8,6,3,21,0,20
Arsenal,1903,,,,0,0,Div 2,Tommy Shanks,Promoted,Promoted,7,6,2,20,0,21
Arsenal,1904,,,,1,1,Div 1,Charlie Satterthwaite,,,9,13,10,10,1,12
Arsenal,1905,,,,2,2,Div 1,Tim Coleman,,,7,16,12,12,1,15
Arsenal,1906,,,,3,3,Div 1,Charlie Satterthwaite,,,4,14,7,7,1,20
Arsenal,1907,,,,4,4,Div 1,Peter Kyle,,,12,14,14,14,1,12
Arsenal,1908,,,,5,5,Div 1,Thomas Fitchie,,,10,14,6,6,1,14
Arsenal,1909,,,,6,6,Div 1,Charles Lewis,,,9,18,18,18,1,11
Arsenal,1910,,,,7,7,Div 1,Jackie Chalmers,,,12,13,10,10,1,13
Arsenal,1911,,,,8,8,Div 1,Alf Common,,,8,15,10,10,1,15
Arsenal,1912,,,,9,9,Div 1,Charles Lewis,Relegated,Relegated,12,23,20,20,1,3
Arsenal,1913,,,,0,9,Div 2,Pat Flanagan,,,9,9,3,23,0,20
Arsenal,1914,,,,0,9,Div 2,Harry King,Promoted,Promoted,5,14,5,25,0,19
Arsenal,1919,,,,1,10,Div 1,Henry White,,,12,15,10,10,1,15
Arsenal,1920,,,,2,11,Div 1,Fred Pagnam,,,14,13,9,9,1,15
Arsenal,1921,,,,3,12,Div 1,Henry White,,,7,20,17,17,1,15
Arsenal,1922,,,,4,13,Div 1,Bob Turnbull,,,10,16,11,11,1,16
Arsenal,1923,,,,5,14,Div 1,Harry Woods,,,9,21,19,19,1,12
Arsenal,1924,,,,6,15,Div 1,Jimmy Brain,,,5,23,20,20,1,14
Arsenal,1925,,,,7,16,Div 1,Jimmy Brain,,,8,12,2,2,1,22
Arsenal,1926,,,,8,17,Div 1,Jimmy Brain,,,9,16,11,11,1,17
