Player,Pos,Team,Num,Height,Weight,DOB
"Abanikanda, Israel",RB,NYJ,25,"5'11""",215 lbs,10/5/02
"Abdullah, Ameer",RB,LV,22,"5'9""",203 lbs,6/13/93
"Abdullah, Yasir",LB,JAC,56,"6'1""",234 lbs,4/12/00
"Abernathy, Micah",S,ATL,29,"6'0""",196 lbs,2/10/97
"Abram, Johnathan",S,NO,24,"6'0""",205 lbs,10/25/96
"Achane, De'Von",RB,MIA,28,"5'9""",188 lbs,10/13/01
"Adams, Andrew",S,BAL,37,"5'11""",202 lbs,10/28/92
"Adams, Davante",WR,LV,17,"6'1""",215 lbs,12/24/92
"Adams, Montravius",DT,PIT,57,"6'4""",304 lbs,7/24/95
"Adams, Myles",DT,SEA,95,"6'2""",290 lbs,3/9/98
"Adams, Tony",S,NYJ,22,"6'0""",205 lbs,1/24/99
"Addington, Tucker",LS,WAS,58,"6'2""",230 lbs,7/16/97
"Addison, Jordan",WR,MIN,3,"5'11""",175 lbs,1/27/02
"Adebawore, Adetomiwa",DT,IND,95,"6'2""",282 lbs,3/4/01
"Adebo, Paulson",CB,NO,29,"6'1""",192 lbs,7/3/99
"Adeniji, Hakeem",OT,CLE,-,"6'4""",315 lbs,12/8/97
"Adkins, Nate",TE,DEN,45,"6'3""",252 lbs,7/9/99
"Adomitis, Cal",LS,CIN,48,"6'2""",238 lbs,7/9/98
"Agholor, Nelson",WR,BAL,15,"6'0""",200 lbs,5/24/93
"Agim, McTelvin",DT,HOU,58,"6'3""",309 lbs,9/25/97
"Agnew, Jamal",WR,JAC,39,"5'10""",190 lbs,4/3/95
"Agoha, David",DE,LV,62,"6'4""",252 lbs,5/18/01
"Agude, Mitchell",LB,DET,50,"6'4""",245 lbs,3/10/99
"Ahmed, Salvon",RB,MIA,-,"5'11""",197 lbs,12/29/98
"Aiyuk, Brandon",WR,SF,11,"6'0""",200 lbs,3/17/98
"Ajiake, Austin",LB,IND,58,"6'1""",223 lbs,6/30/00
"Akers, Cam",RB,MIN,31,"5'10""",217 lbs,6/22/99
"Akingbulu, Alex",OT,WAS,62,"6'5""",300 lbs,12/28/97
"Akins, Jordan",TE,CLE,84,"6'4""",245 lbs,4/19/92
"Alarcon, Isaac",OL,SF,-,"6'7""",320 lbs,7/27/98
"Alexander, Jaire",CB,GB,23,"5'10""",196 lbs,2/9/97
"Alexander, Maurice",WR,DET,15,"5'11""",174 lbs,1/10/97
"Alford, Dee",CB,ATL,20,"5'11""",175 lbs,11/5/97
"Ali, Josh",WR,ATL,80,"6'0""",200 lbs,3/3/99
"Alie-Cox, Mo",TE,IND,81,"6'5""",267 lbs,9/19/93
"Allegretti, Nick",G,WAS,-,"6'4""",310 lbs,4/21/96
"Allen, Brandon",QB,SF,-,"6'2""",209 lbs,9/5/92
"Allen, Brevin",LB,LAC,90,"6'3""",265 lbs,9/22/00
"Allen, Davis",TE,LAR,87,"6'6""",245 lbs,2/3/01
"Allen, Devon",WR,PHI,82,"6'1""",190 lbs,12/12/94
"Allen, Jonathan",DT,WAS,93,"6'3""",300 lbs,1/16/95
"Allen, Josh",QB,BUF,17,"6'5""",237 lbs,5/21/96
"Allen, Josh",LB,JAC,41,"6'5""",255 lbs,7/13/97
"Allen, Kazmeir",WR,WAS,10,"5'8""",176 lbs,2/29/00
"Allen, Keenan",WR,CHI,-,"6'2""",211 lbs,4/27/92
"Allen, Kyle",QB,PIT,-,"6'3""",210 lbs,3/8/96
"Allen, Zach",DE,DEN,99,"6'5""",285 lbs,8/20/97
"Allgeier, Tyler",RB,ATL,25,"5'11""",220 lbs,4/15/00
"Al-Shaair, Azeez",LB,HOU,-,"6'2""",228 lbs,8/4/97
"Alualu, Tyson",DL,DET,92,"6'3""",304 lbs,5/12/87
"Amadi, Ugo",DB,NO,0,"5'9""",201 lbs,5/17/97
"Anae, Bradlee",DL,NYJ,50,"6'3""",260 lbs,1/17/98
"Anchrum Jr., Tremayne",G,SEA,-,"6'2""",314 lbs,6/24/98
"Andersen, Troy",LB,ATL,44,"6'4""",235 lbs,4/23/99
"Anderson, Abdullah",DL,WAS,92,"6'4""",295 lbs,1/24/96
"Anderson, Alec",OT,BUF,70,"6'5""",305 lbs,10/3/99
"Anderson, Calvin",OL,NE,76,"6'5""",305 lbs,3/25/96
"Anderson, Jack",C,IND,67,"6'4""",314 lbs,10/12/98
"Anderson, Liam",LB,IND,47,"6'3""",226 lbs,4/30/00
"Anderson, Ryder",DL,NYG,90,"6'6""",280 lbs,10/15/98
"Anderson, Spencer",OL,PIT,74,"6'5""",305 lbs,6/7/00
"Anderson, Tycen",S,CIN,26,"6'2""",209 lbs,6/13/99
"Anderson, Zayne",S,GB,39,"6'2""",206 lbs,1/3/97
"Anderson Jr., Will",DE,HOU,51,"6'4""",243 lbs,9/2/01
"Andrews, David",C,NE,60,"6'3""",300 lbs,7/10/92
"Andrews, Jake",C,NE,67,"6'2""",308 lbs,11/11/99
"Andrews, Mark",TE,BAL,89,"6'5""",247 lbs,9/6/95
"Anger, Bryan",P,DAL,5,"6'3""",202 lbs,10/6/88
"Ankou, Eli",DT,BUF,51,"6'3""",325 lbs,6/8/94
"Anudike-Uzomah, Felix",DE,KC,97,"6'4""",255 lbs,1/24/02
"Anzalone, Alex",LB,DET,34,"6'3""",238 lbs,9/22/94
"Araiza, Matt",P,KC,-,"6'2""",200 lbs,5/16/00
"Arcuri, AJ",OL,LAR,61,"6'7""",320 lbs,8/13/97
"Arias, Daniel",WR,ARI,82,"6'3""",216 lbs,9/2/98
"Armour-Davis, Jalyn",CB,BAL,5,"6'1""",197 lbs,9/3/99
"Armstead, Arik",DL,JAC,-,"6'7""",290 lbs,11/15/93
"Armstead, Terron",OT,MIA,72,"6'5""",305 lbs,7/23/91
"Armstrong, Cornell",CB,LV,30,"6'0""",185 lbs,9/22/95
"Armstrong, Dorance",DE,WAS,-,"6'4""",255 lbs,6/10/97
"Arnold, Grayland",S,HOU,25,"5'10""",187 lbs,9/4/97
"Asamoah II, Brian",LB,MIN,33,"6'0""",226 lbs,3/29/00
"Atwell, Tutu",WR,LAR,5,"5'9""",165 lbs,10/7/99
"Aubrey, Brandon",K,DAL,17,"6'3""",208 lbs,3/14/95
"Aumavae-Laulu, Malaesala",G,BAL,71,"6'5""",325 lbs,5/25/99
"Austin, Alex",DB,NE,28,"6'1""",191 lbs,5/22/01
"Austin III, Calvin",WR,PIT,19,"5'9""",162 lbs,3/24/99
"Autry, Denico",DL,HOU,96,"6'5""",285 lbs,7/15/90
"Avery, Genard",DE,IND,-,"6'0""",250 lbs,4/26/95
"Avery, Tre",CB,TEN,23,"5'11""",181 lbs,2/26/97
"Avila, Steve",OL,LAR,73,"6'3""",332 lbs,10/16/99
"Awosika, Kayode",G,DET,74,"6'3""",315 lbs,10/27/98
