,Rank,player,club,age,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating,nationality
0,1,Hakim Ziyech,Ajax,25,34,3043,9,15,4,0,4.9,75.4,0.2,9,8.21,Morocco
2,2,Alireza Jahanbakhsh,AZ Alkmaar,24,33,2840,21,12,3,0,4.3,73.4,0.7,14,8.2,Iran
4,3,Hirving Lozano,PSV Eindhoven,22,29,2350,17,8,4,2,3.4,75.3,0.6,8,7.9,Mexico
6,11,Lasse Schone,Ajax,32,27(3),2350,10,3,6,0,1.9,87.0,1.9,2,7.45,Denmark
10,25,Santiago Arias,PSV Eindhoven,26,30,2664,3,6,5,0,1.5,82.3,1,2,7.25,Colombia
12,34,Karim El Ahmadi,Feyenoord,33,31,2780,2,4,2,0,1.3,89.6,0.6,1,7.19,Morocco
14,451,Karim El Ahmadi,Feyenoord,33,4,360,0,0,3,0,1,88.9,0.3,0,6.06,Morocco
16,117,Tyronne Ebuehi,ADO Den Haag,22,28,2375,0,2,1,1,0.2,79.2,1.3,1,6.83,Nigeria
18,146,Sofyan Amrabat,Feyenoord,21,11(10),1190,1,2,4,0,0.8,86.1,1.2,0,6.73,Morocco
20,299,Sofyan Amrabat,Feyenoord,21,6,528,1,0,1,0,0.3,84.4,1.2,0,6.59,Morocco
22,160,Kasper Dolberg,Ajax,20,11(12),1143,6,0,0,0,2,78.1,0.5,0,6.69,Denmark
24,205,Reza Ghoochannejhad,SC Heerenveen,30,30(5),2509,9,1,3,0,1.8,69.8,1,0,6.48,Iran
26,4,Aleksandar Mitrovic,Fulham,23,18(2),1653,12,1,3,0,4.1,77.1,4.1,6,7.52,Serbia
27,15,Massimo Luongo,Queens Park Rangers,25,38(1),3389,6,3,10,0,1.7,71.6,2.6,4,7.32,Australia
29,45,Pontus Jansson,Leeds,27,41(1),3560,3,0,13,0,0.6,83.2,3.9,3,7.12,Sweden
31,55,Romain Saiss,Wolverhampton Wanderers,28,37(5),3398,4,0,11,0,1,83.8,1.7,3,7.09,Morocco
33,57,Mile Jedinak,Aston Villa,33,20(8),1767,2,0,3,0,0.6,75.2,4.5,0,7.08,Australia
35,73,Bryan Oviedo,Sunderland,28,31(3),2605,2,4,9,0,0.7,73.1,0.7,3,7.03,Costa Rica
37,76,Aron Gunnarsson,Cardiff,29,17(3),1500,1,1,3,0,0.8,65.4,1.3,1,7.02,Iceland
39,89,Jackson Irvine,Hull,25,27(7),2460,2,6,6,0,0.7,68.2,4.8,0,6.98,Australia
41,90,Henrik Dalsgaard,Brentford,28,29,2541,1,3,4,0,0.7,72.0,3.1,2,6.98,Denmark
43,100,Jonas Knudsen,Ipswich,25,42,3780,1,7,10,0,0.6,66.5,3.1,2,6.96,Denmark
45,158,James Meredith,Millwall,30,46,4009,0,0,3,0,0.1,63.0,2,0,6.84,Australia
47,187,Bartosz Bialkowski,Ipswich,30,45,4050,0,0,0,0,-,42.9,0.5,1,6.79,Poland
49,232,Sebastian Larsson,Hull,33,37(3),3246,2,4,13,0,0.9,79.3,0.5,0,6.7,Sweden
51,295,Birkir Bjarnason,Aston Villa,30,11(14),1100,3,2,1,0,1,82.8,1.1,0,6.61,Iceland
53,311,Jon Dadi Bodvarsson,Reading,26,20(13),1766,7,1,2,0,1.5,61.9,2.8,3,6.55,Iceland
55,2,Bruno Fernandes,Sporting CP,23,6,567,3,3,1,0,4,79.9,0.3,1,8.0,Portugal
56,7,Bruno Fernandes,Sporting CP,23,32(1),2806,11,8,6,0,2.8,75.0,0.7,6,7.55,Portugal
57,101,Bruno Fernandes,Sporting CP,23,6,537,1,1,2,0,3.3,79.4,0.3,1,7.07,Portugal
59,5,Antoine Griezmann,Atletico Madrid,27,7(1),631,6,2,0,0,3.6,78.8,0.5,3,7.91,France
60,13,Antoine Griezmann,Atletico Madrid,27,30(2),2530,19,9,7,1,2.3,77.6,0.8,8,7.38,France
62,140,Antoine Griezmann,Atletico Madrid,27,6,529,2,2,1,0,3,84.1,0.5,1,6.98,France
64,8,Nabil Fekir,Lyon,24,8,660,3,1,2,0,2.5,85.9,0.3,3,7.73,France
65,3,Nabil Fekir,Lyon,24,28(2),2481,18,8,8,0,3,85.3,0.7,12,7.86,France
66,12,Mesut Ozil,Arsenal,29,7,609,1,4,0,0,1,86.4,-,1,7.7,Germany
68,23,Mesut Ozil,Arsenal,29,24(2),2164,4,8,4,0,1.5,86.5,-,2,7.25,Germany
70,18,Remo Freuler,Atalanta,26,8,720,1,1,1,0,1,87.8,1.3,0,7.58,Switzerland
72,44,Remo Freuler,Atalanta,26,33(2),3006,5,3,4,1,1.3,88.1,0.8,3,7.08,Switzerland
74,25,Manuel Fernandes,Lokomotiv Moscow,32,10,900,6,0,1,0,2.7,84.7,1.4,2,7.52,Portugal
76,17,Manuel Fernandes,Lokomotiv Moscow,32,27(2),2476,7,4,4,0,2.3,81.9,0.6,3,7.16,Portugal
78,28,Saman Ghoddos,Oestersunds FK,24,8,720,2,3,0,0,2.9,79.8,0.6,2,7.5,Iran
80,30,Timo Werner,RasenBallsport Leipzig,22,5,445,4,2,0,0,3.8,79.0,-,1,7.48,Germany
82,94,Timo Werner,RasenBallsport Leipzig,22,28(4),2493,13,7,1,0,3,75.2,0.5,2,6.9,Germany
84,208,Timo Werner,RasenBallsport Leipzig,22,4(2),331,3,0,0,0,2,65.8,0.2,0,6.79,Germany
86,31,Granit Xhaka,Arsenal,25,5(1),495,1,0,1,0,1.2,91.2,1.5,0,7.47,Switzerland
88,62,Granit Xhaka,Arsenal,25,37(1),3266,1,7,10,0,1.7,86.9,1.3,0,7.02,Switzerland
90,34,Adnan Januzaj,Real Sociedad,23,3(3),368,1,1,0,0,3.3,82.4,0.5,1,7.46,Belgium
92,103,Adnan Januzaj,Real Sociedad,23,18(10),1580,3,5,4,0,2.1,80.5,0.2,4,6.86,Belgium
94,36,Lucas Biglia,AC Milan,32,5,450,0,0,0,0,0.6,89.9,1.6,0,7.43,Argentina
96,95,Lucas Biglia,AC Milan,32,24(4),2043,1,1,5,0,0.8,91.0,0.8,1,6.88,Argentina
98,38,Aleksandr Golovin,CSKA Moscow,22,5,450,2,0,2,0,2.8,83.1,0.8,0,7.43,Russia
100,9,Aleksandr Golovin,CSKA Moscow,22,26(1),2283,5,3,8,0,2.1,82.4,0.3,2,7.25,Russia
101,216,Aleksandr Golovin,CSKA Moscow,22,6,537,0,1,2,0,1.3,84.7,0.5,0,6.78,Russia
103,39,Danny Welbeck,Arsenal,27,9(1),762,3,0,0,0,2.1,84.8,1.6,1,7.42,England
105,250,Danny Welbeck,Arsenal,27,12(16),1185,5,2,1,0,1.1,79.8,0.9,2,6.52,England
107,40,Branislav Ivanovic,Zenit St. Petersburg,34,7,615,3,2,0,0,0.7,81.8,1.6,1,7.42,Serbia
109,33,Branislav Ivanovic,Zenit St. Petersburg,34,27,2358,2,1,1,0,0.9,82.2,2.2,2,7.06,Serbia
111,68,William Carvalho,Sporting CP,26,3(1),256,0,0,2,0,0.3,91.1,2.3,0,7.3,Portugal
113,21,William Carvalho,Sporting CP,26,24,2132,1,1,3,0,0.9,88.2,1.5,1,7.25,Portugal
115,311,William Carvalho,Sporting CP,26,5,450,0,0,1,0,0.4,87.8,1,0,6.56,Portugal
117,70,Diego Costa,Atletico Madrid,29,5,387,2,1,1,0,2.4,66.7,2.6,1,7.29,Spain
